word,meaning,source,,word_type,gender,direct translation
rahol,"to waste, squander [ra=non- + o1=to store]     {orig}",orig,,,,
rahom,"to non-teach, to deliberately fill students’ minds with empty data or false information; (can be used only of persons in a teacher/student relationship); [ra=non- + om=to teach]     {orig}",orig,,,,no
rahoth,nowhere [ra=non- + hoth=place]     {orig},orig,,"place, grammar",,
rahowa,to be cold [ra=non- + owa=to be warm]     {orig},orig,,,,
rahu,to be closed [ra=non- + u=to be open]     {orig},orig,,,,
rahub,irritant substance [ra=non- + ub=balm]     {orig},orig,,,,
rahulh,slave [ra=non- + hu=ruler + lh=negative con notation]     {orig},orig,,person,,
raláad,to non-perceive [ra=non- + láad=to perceive]     {orig},orig,,,,no
raláadá,non-perceiver; one who fails to perceive [raláad=to non-perceive + -á=suffix for doer]     {orig},orig,,,,no
raláadálh,"non-perceiver, one who fails to perceive deliberately and with evil intent [raláadá=non-perceiver + lh=negative connotation]     {orig}",orig,,,,no
ralaheb,"something utterly spiceless, bland, “like warm spit”, repulsively bland and blah [ra=non- + laheb=spice]     {orig}",orig,,,,no
ralali,drought [ra=non- + lali=rain]     {orig},orig,,nature,,
ralámálha,tactile deprivation [ra=non- + lámála=to caress + lh=negative connotation]     {orig},orig,,,,no
ralath,to be celibate not by choice     {orig},orig,,sex,,no
ralh,rape; to rape     {Grammar Updates},new,,,,
ralhewedeth,to obfuscate [ra=non- + wedeth=to be clear + lh=negative connotation]     {orig},orig,,,,
ralhoham,love for evil [ra=non- + oham=love for that which is holy]     {orig},orig,,neg emotion,,no
raliha,pitcher     {orig},orig,,object,,
ralili,to be dry [ra=not + lili=wet]     {new},new,,,,
ralith,"to deliberately refrain from thinking about something, to wall it off in one’s mind by deliberate act [ra=non- + lith=to think]     {orig}",orig,,,,no
ralod,anarchy [ra=non- + lod=household]     {orig},orig,,,,
ralóolo,to be fast [ra=non- + lóolo=to be slow ]     {orig},orig,,,,
ralorolo,"non-thunder, much talk and commotion from one (or more) with no real knowledge of what they’re talking about or trying to do, something like “hot air” but more so [ra=non+ lorolo=thunder]     {orig}",orig,,,,no
ralosh,bankruptcy [ra=non- + losh=money]     {orig},orig,,,,
raloth,ignorance [ra=non- + loth-information]     {orig},orig,,neg emotion,,
ram,presence     {orig},orig,,,,
ramaha,absence of sexual desire [ra=non- + maha=desire (sexual)]     {orig},orig,,"neut emotion, sex",,no
raména,"callousness for good reasons, disregard, to be callous [ra= non- + ména=compassion for good reasons]     {orig}",orig,,neut emotion,,no
ramihí,to be large (area)     {AB},new,,,,
ramíili,evil (theological) [ra=non- + míili=radiance]     {orig},orig,,,,no
ramíilide,from evil (theological) [ra=non- + míili=radiance + -de=source case marker]     {orig},orig,,,,no
ramime,"to refrain from asking, out of courtesy or kindness [ra=non- + mime=to ask]     {orig}",orig,,,,no
ramimelh,"to refrain from asking, with evil intent; especially when it is clear that someone badly wants the other to ask [ramime=to refrain from asking + lh=give negative connotation]     {orig}",orig,,,,no
ramína,"callousness for no reason, disregard, to be callous [ra-non- + mína=compassion for no reason]     {orig}",orig,,neg emotion,,no
ramóna,"callousness for foolish reasons, disregard, to be callous [ra=non- + móna=compassion for foolish reasons]     {orig}",orig,,neg emotion,,no
ramúna,"callousness for bad reasons, disregard, to be callous [ra=non- + múna=compassion for bad reasons]     {orig}",orig,,neg emotion,,no
ran,typewriter     {orig},orig,,object,,
rana,"drink, beverage (rilin=to drink)     {orig}",orig,,food,,
ranahá,drinker [rana=drink + -á=suffix for doer]     {orig},orig,,person,,
ranahálh,alcoholic [ranahá=drinker + lh=negative connotation]     {orig},orig,,person,,
ranal,"no how, in no way [ra=non- + -nal=suffix for manner]     {orig}",orig,,grammar,,
ranem,"non-pearl, an ugly resentment or situation which worsens & festers, an ugly thing one builds layer by layer as an oyster does a pearl, such as a festering hatred to which one pays attention [ra=non+ nem=pearl]     {orig}",orig,,,,no
raneran,"printer, computer printer [ran=typewriter]     {orig}",orig,,object,,
rani,"non-cup, a hollow accomplishment, something one acquires or receives or accomplishes but is empty of all satisfaction [ra=non- + ni=cup]     {orig}",orig,,,,no
ranil,"outside, out [ra=non- + nil=inside]     {orig}",orig,,grammar,,
ranime,be unwilling [ra=not + nime=willing]     {AB},new,,neg emotion,,
ranonede,to be infinite     {EB},new,,,,
rarilh,"to deliberately refrain from recording; for example, the failure throughout history to record the accomplishments of women [ra=non- + ri=to record, keep records + lh=negative connotation]     {orig}",orig,,,,no
rarulh,"non-synergy, that which when combined only makes things worse, less efficient, etc. [ra=non- + ru=synergy + lh=negative connotation]     {orig}",orig,,,,no
rasha,discord (not discord in the home) [ra=non- + sha=harmony]     {orig},orig,,,,no
rashe,to torment [ra=non- + she=comfort]     {orig},orig,,,,
rasheb,resistence to change [ra=non- + sheb=change]     {orig},orig,,,,no
rashelh,to torture [rashe=to torment + lh=negative connotation]     {orig},orig,,,,
rashelith,worry [ra=not + she=to comfort + lith=think],blank,,,,
rashenidal,bureaucracy [ra=non- + shenidal=network]     {orig},orig,,,,
rashida,"non-game, a cruel “playing” that is a game only for the dominant “player” with the power to force others to participate [ra=non- + shida=game]     {orig}",orig,,,,no
rashim,celibacy [ra=non- + shim=to sexual act]     {orig},orig,,sex,,
rashimá,a celibate [rashim=celibacy + -á=suffix for doer]     {orig},orig,,"person, sex",,
rashon,"argument, quarrel, to argue, to quarrel, not used of an ‘argument’ in a theory or an equation or a proposition [ra-non- + shon=peace]     {orig}",orig,,fight,,
rashonelh,war [rashon=quarrel + lh=negative connotation]     {orig},orig,,fight,,
rashonelhá,"attacker, aggressor [rashonelh=war + -á=suffix for doer]     {orig}",orig,,fight,,
rathal,to be bad [ra=non- + thal=to be good]     {orig},orig,,,,
rathena,despair for good reasons [ra=non- + thena=joy for good reasons]     {orig},orig,,neg emotion,,no
rathina,despair for no reason [ra=non- + thina=joy for no reason]     {orig},orig,,neg emotion,,no
rathom,"non-pillow, one who lures another to trust and rely on them but has no intention of following through, a “lean on me so I can step aside and let you fall” person [ra=non- + thom=pillow]     {orig}",orig,,"person, relationship",,no
rathona,despair for foolish reasons [ra=non- + thona=joy for foolish reasons]     {orig},orig,,neg emotion,,no
rathóo,"non-guest, someone who comes to visit knowing perfectly well that they are intruding and causing difficulty [ra=non- + thóo=guest]     {orig}",orig,,relationship,,no
rathuna,despair for bad reasons [ra=non- + thuna=joy for bad reasons]     {orig},orig,,neg emotion,,no
rawan,chest (body part)     {orig},orig,,body,,
rawedeth,"to be murky, obscure [ra=non- + wedeth=to be clear]     {orig}",orig,,,,
raweshalh,"non-gestalt, a collection of parts with no relationship other than coincidence, a perverse choice of items to call a set; especially when used as “evidence” [ra=non- + wesha=gestalt + lh=negative connotation]     {orig}",orig,,,,no
rawihi,emotionlessness (NOT a complimentary term) [ra=non- + wihi=emotion]     {orig},orig,,neg emotion,,no
rawíi,to be dead [ra=non- + wíi=to be alive]     {orig},orig,,,,
rawith,nobody [ra=non- + with=person]     {orig},orig,,"person, grammar",,
rawoho,"none, not at all [ra=non- + woho=all]     {orig}",orig,,"person, grammar",,
rawóobaná,"barren one, to be barren [ra-non- + wóobaná=birth giver]     {orig}",orig,,"person, sex",,
rayide,"anorexia, to be anorexic [ra=non- + yide=hunger]     {orig}",orig,,health,,
rayil,"above, to be above [ra=non- + yil=under]     {orig}",orig,,"grammar, place",,
Rayilesháal,Friday (Above Day) [rayil=above + sháal=day]     {orig},orig,,time,,
rayom,danger [ra=non- + yom=safe]     {orig},orig,,,,
razh,vehicle     {orig},orig,,,,
redeb,to find     {orig},orig,,,,
réele,harbor     {orig},orig,,place,,
ren,"rug, carpet     {orig}",orig,,object,,
resh,wasp     {orig},orig,,animal,,
ri,"to record, to keep records     {orig}",orig,,,,
ridadem,"camera, VCR, camcorder [ri=to record + dadem=picture]     {orig}",orig,,object,,
ríibib,frog     {JP},new,,animal,,
ril,now     {orig},orig,,time,,
ril,"present time, now (Time Auxiliary)     {orig}",orig,,time,,
ril i aril irilrili,forevermore,blank,,time,,
rile,silence     {orig},orig,,,,
riledim,silent refusal to discuss “rilehum” (a purposeful refusal to communicate) [rile=silence + dim=container]     {Grammar Updates: TB},new,,,,no
rilehana,silence that is comfortable and natural [rile=silence + ana=food]     {Grammar Updates: TB},new,,,,no
rilehum,"silence that is a purposeful refusal to communicate, with a denial that it’s even happening (see rilhehum) [rile=silence + hum=knife]     {Grammar Updates: TB}",new,,,,no
rilelh,malicious silence [rile+lh]     {Grammar Updates: TB},new,,,,no
rilerahum,"silence acutely painful to you, but the other person seems totally unaware [rile=silence + plus “absence”]     {Grammar Updates: TB}",new,,,,no
rilerashum,silence imposed by internal force of will because all words are wrong words and silence is the sole defense against disintegration [rile=silence + ra=non + shum=air]     {Grammar Updates: TB},new,,,,no
rilhedim,malicious silent refusal to discuss “rilhehum” (a purposeful refusal to communicate) [rilhe=malicious silence + dim=container]     {Grammar Updates: TB},new,,,,no
rilhehum,"malicious silence that is a purposeful refusal to communicate, with a denial that it’s even happening (see rilehum) [rilhe=malicious silence + hum=knife]     {Grammar Updates: TB}",new,,,,no
rilherahum,malicious silence acutely painful to you     {Grammar Updates: TB},new,,,,no
rilin,"to drink (rana=drink, noun)     {orig}",orig,,,,
rilinehoth,bar [rilin=drink + (e)hoth=place],blank,,place,,
rilrili,"hypothetical, would, might, let’s suppose (Time Auxiliary)     {orig}",orig,,grammar,,
rim,shoulder     {orig},orig,,body,,
rimáayo,"cloak, cape [rim=shoulder + áayo=skirt]     {orig}",orig,,clothes,,
rimel,copier (like Xerox) [ri=to record + mel=paper]     {orig},orig,,object,,
rin,plate (dish)     {orig},orig,,object,,
riweth,to keep track of     {Grammar Updates},new,,,,
rizho,tape recorder [ri=to record + zho=sound]     {orig},orig,,object,,
ro,weather     {orig},orig,,nature,,
rod,"million (1,000,000)     {orig}",orig,,number,,
rohoro,storm [ro=weather]     {orig},orig,,nature,,
romid,wild animal [ro- =wild + mid=creature]     {orig},orig,,animal,,
róo,harvest     {orig},orig,,"time, nature",,
róohá,"harvester, gatherer [róo=harvest + -á=suffix for doer]     {orig}",orig,,person,,
róomath,barn [róo=harvest + math=building]     {orig},orig,,place,,
rosh,sun     {orig},orig,,nature,,
rothil,wild vine — [ro-= wild + thil=vine],blank,,plant,,
ru,synergy     {orig},orig,,,,
ruhob,to be deep     {orig},orig,,,,
ruhobehal,"middle career, deep career, the career you take after your mid-life crisis [ruhob=deep + hal=work] (see didehal, shawithehal)     {new}",new,,,,no
rul,cat     {orig},orig,,animal,,
rulelo,to purr     {Grammar Updates: AH},new,,,,
rum,hip     {orig},orig,,body,,
rumad,"to hide, cover, put away     {new}",new,,,,
rumadoni,to bury [rumad=to hide + doni=dirt]     {SH},new,,,,
rumi,shadow     {orig},orig,,,,
rush,"to be last, final     {orig}",orig,,,,
rushi,wine     {orig},orig,,food,,
rushihá,vintner [rushi=wine + -(h)á=suffix for doer]     {new},new,,person,,
rúsho,to be bitter (to taste)     {orig},orig,,sense,,
rúshomeénan,bittersweet [rúsho=bitter+ meénan=sweet],blank,,"sense, neut emotion",,
rúu,to lie down     {orig},orig,,,,
sha,"harmony, to be in harmony     {orig}",orig,,pos emotion,,
sháad,"to come, to go (differentiated by the ‘source’ or ‘goal’ marker on the following noun)     {orig}",orig,,,,
sháadehul,"growth through transcendence, either of a person, a non-human, or thing (for example, an organization, or a city, or a sect) [sháad=to come, go + -hul=suffix denoting to an extreme degree]     {orig}",orig,,,,no
sháadoni,to quest for truth     {SH},new,,,,no
sháal,day     {orig},orig,,time,,
sháam,psalm [loanword]     {orig},orig,,spirituality,,
shad,"to be perfect, pure     {orig}",orig,,,,
shadon,"truth, honor, conforming to the harmony of the universe [shad=to be perfect, pure + on=head]     {orig}",orig,,,,no
shahina,rose,blank,,plant,,
shal,"manners, courtesy     {orig}",orig,,,,
shala,"grief with reason, with blame, and not futile (see: shama, shana, shara, shina)     {orig}",orig,,neg emotion,,no
sham,"love for the child of one’s body, presupposing neither love nor respect nor their absence     {orig}",orig,,"relationship, pos emotion",,no
shama,"grief with reason, but with no blame, and futile (see: shala, shana, shara, shina)     {orig}",orig,,neg emotion,,no
shamid,domestic animal [sha=harmony + mid=creature]     {orig},orig,,animal,,
shan,five (5)     {orig},orig,,number,,
shana,"grief with reason, but with no blame and not futile (see: shala, shama, shara, shina)     {orig}",orig,,neg emotion,,no
shane,"to be downy, furry     {orig}",orig,,,,
shanemid,rabbit [shane=furry + mid=creature]     {orig},orig,,animal,,
shanethab,fifteen (15) [shan=5 + thab=l0]     {orig},orig,,number,,
shara,"grief with reason, with blame, and futile (see: shala, shama, shana, shina)     {orig}",orig,,neg emotion,,no
shasho,connection     {orig},orig,,,,
shathul,"mother (formal term, honored mother) [sha=harmony + thul=parent] (see: mathul, ethul)     {orig}",orig,,"relationship, person",fem,
shawith,"elder, honored adult [sha=harmony + with=person]     {new}",new,,person,,no
shawithehal,"retired career, elder career, the work you do after you’ve officially retired [shawith=elder + (e)hal=work] (see didehal, ruhobehal)     {new}",new,,,,no
she,to comfort     {orig},orig,,,,
shé,with regard to (loanword)     {Grammar Updates},new,,,,
sheb,"change, to change     {orig}",orig,,,,
sheba,widow [sheb=change + eba=spouse]     {orig},orig,,person,fem,
shebasheb,death [sheb=change]     {orig},orig,,,,
shebehatheshun,"all coming-of-age rituals and change-of-life rituals, rite of passage [sheb=change + (e)hath=time + (e)shun=ritual]     {new}",new,,spirituality,,no
shée,desert     {orig},orig,,place,,
shéeba,earthworm     {orig},orig,,animal,,
shehá,comforter [she=to comfort + -á=suffix for doer]     {orig},orig,,person,,
shehéeda,holy day [she=to comfort + héeda=to be sacred]     {orig},orig,,"spirituality, time",,
shel,to be rigorous     {orig},orig,,,,
shelalen,dulcimer     {orig},orig,,object,,
sheni,intersection     {orig},orig,,place,,
shenidal,network [sheni=intersection + dal=thing]     {orig},orig,,,,
sherídan,niece     {orig},orig,,relationship,,
sheshi,sand     {orig},orig,,material,,
sheshihoth,beach [sheshi=sand + hoth=place]     {orig},orig,,place,,
shi,to please     {orig},orig,,,,
shida,game [shi=to please]     {orig},orig,,,,
shidi,to be together     {orig},orig,,,,
shili,mist     {new},new,,nature,,
shim,"to “sexual act”, engage in sex, copulation (abstract and completely neutral term)     {orig}",orig,,sex,,
shimá,"one who performs a sexual act, copulater (cannot mean lover) [shim=to “sexual act” + -á=suffix for doer]     {orig}",orig,,"person, sex",,no
shin,"to be two, two (2)     {orig}",orig,,,,
shina,"grief without reason or blame, not futile (see: shala, shama, shana, shara)     {orig}",orig,,neg emotion,,no
shinehal,computer [shin=two + hal=to work]     {orig},orig,,object,,
shinehóowith,great granddaughter [shin=two + hóowith=granddaughter]     {orig},orig,,relationship,fem,
shinehothul,great grandmother [shin=two + hothul=grandmother]     {orig},orig,,relationship,fem,
shinenil,between [shin+nil]     {Grammar Updates},new,,grammar,,
shineshid,to be invited     {orig},orig,,,,
shineshidethóo,"invited guest [shineshid=invited + (e)thóo=guest] (See also: thóo, áathethóo, nithedimethóo, widadithethóo)     {CH}",new,,person,,no
shinethab,twelve (12) [shin=2 + thab=l0]     {orig},orig,,number,,
shineya,second [shin=two + -(e)ya=suffix for time]     {AB&CH},new,,number,,
shiniledal,middle [shin=two + nil=inside + (e)dal=thing]     {SH},new,,,,
shinishidi,couple [shin=two + i=and + shidi=together]     {new},new,,relationship,,
shinishin,calculator [shin=2 + i=and + shin=2]     {orig},orig,,object,,
shinóoya,"to be fertile, creative [shin=two + óoya=heart]     {SH}",new,,pos emotion,,no
shishid,united     {orig},orig,,,,
shishidebeth,nation     {orig},orig,,,,
sho,to be heavy     {orig},orig,,,,
shod,room     {orig},orig,,place,,
shóda,"to feel housebound, cut off due to family responsibilities     {new}",new,,neg emotion,,no
shol,absence-of-pain     {orig},orig,,neut emotion,,no
sholalan,alone in a crowd of people     {Grammar Updates},new,,neg emotion,,no
sholan,to be alone     {orig},orig,,neut emotion,,
shon,peace     {orig},orig,,,,
shoná,peacemaker [shon=peace + -á=suffix for doer]     {orig},orig,,person,,
shonida,tribe,blank,,relationship,,
shóo,"to come to pass, to happen     {orig}",orig,,,,
shóoban,"to enable, to help make happen, remove barriers & provide encourage (SH) [shóo+ban]     {Grammar Updates}",new,,,,
shóod,"busy, to be busy     {orig}",orig,,,,
shóodal,news [shóo=happen;come to pass + dal=thing]     {AB},new,,,,
Shósho,Magic Granny (character in stories)     {orig},orig,,person,,no
shoth,predicate     {orig},orig,,,,
shoya,"hide, animal skin (noun)     {SH}",new,,material,,
shu,"to smell, to sniff, Active smelling. “I am smelling the perfume.” (see láad oyonan passive smell)     {Grammar Updates}",new,,sense,,no
shub,to do     {orig},orig,,,,
shud,to be poor     {orig},orig,,,,
shulhe,"to be inappropriate, to not fit, to be wrong for [shule+ih=negative connotation]     {orig}",orig,,,,
shulin,"to overflow, as water does     {orig}",orig,,,,
shum,air     {orig},orig,,nature,,
shumáad,to fly     {new},new,,,,
shumath,tower,blank,,place,,
shumezh,to sift [shum=air + mezh=powder]     {CH},new,,,,
shun,"ceremony, ritual     {orig}",orig,,spirituality,,
shunobahéthe,"ritual bath, to ritually bathe [shun=ceremony,ritual + obahéthe=bath]     {new}",new,,spirituality,,no
tháa,"to thrive, to do well     {orig}",orig,,,,
thaáhel,to get by     {orig},orig,,,,
thab,ten (10)     {orig},orig,,number,,
thabebath,sixty (60)     {orig},orig,,number,,
thabebath i nede,sixty-one (61)     {orig},orig,,number,,
thabebim,forty (40)     {orig},orig,,number,,
thabebóo,thirty (30)     {orig},orig,,number,,
thabebud,ninty (90)     {orig},orig,,number,,
thabenib,eighty (80)     {orig},orig,,number,,
thabeshan,fifty (50)     {orig},orig,,number,,
thabeshin,twenty (20)     {orig},orig,,number,,
thabeya,tenth [thab=ten + -(e)ya=suffix for time]     {AB&CH},new,,number,,
thabum,seventy (70)     {orig},orig,,number,,
thad,to be able     {orig},orig,,,,
thade,birthday     {orig},orig,,time,,
thahoma,"fist, to fist     {SH}",new,,body,,
thal,"to be good, fine, satisfactory     {orig}",orig,,,,
thaledan,gospel [thal=good + (e)dan=language]     {orig},orig,,spirituality,,
tham,circle     {orig},orig,,,,
thamehal,"globe, sphere, planet [tham=circle + -(e)hal=unusual degree]     {orig}",orig,,,,
thamehaledal,asteroid [thamehal=globe + dal=thing]     {orig},orig,,nature,,
thamehib,to squeeze     {SH},new,,,,
thamerili,"to wring, wring out [tham=circle + (e)ra=not + ili=water]     {SH}",new,,,,
thamesho,to wrap [tham=circle + mesh=across + o=around]     {new},new,,,,
thamewud,arc [tham=circle + (e)wud=part]     {SH},new,,,,
thameyul,tornado [tham=circle + yul=wind]     {orig},orig,,nature,,
than,underground     {orig},orig,,,,
thazh,"to inherit, inherited     {orig}",orig,,,,
thed,"far, to be far     {orig}",orig,,,,
thede,jewel     {orig},orig,,object,,
théewóoban,soon to give birth [thée-=about to + wóoban=to give birth],blank,,sex,fem,no
thehena,"happiness, joy: despite negative circumstances: to be joyful, to be happy (thena, thina, thona, thuma= joy]     {orig}",orig,,pos emotion,,no
thel,"to get, obtain     {orig}",orig,,,,
théle,television [loanword]     {orig},orig,,object,,
them,"need, need for/of     {orig}",orig,,,,
then,to break     {orig},orig,,,,
thena,"happines, joy: for good reasons: to be joyful, to be happy (thehena, thina, thona, thuna=joy)     {orig}",orig,,pos emotion,,no
thenazho,to purr     {AH},new,,,,
theni,interruption [then=to break + -i=diminutive(small)]     {SH},new,,,,
thera,"Earth, Terra [loanword]     {orig}",orig,,place,,
thesh,herb     {orig},orig,,"plant, food",,
théwóoban,on the point of giving birth [thé-=about to any minute + wóoban=to give birth],blank,,sex,fem,no
thezh,sorrel (the herb)     {SH},new,,,,
thi,to have     {orig},orig,,,,
thib,"to rise up, stand up     {orig}",orig,,,,
thibá,wall [thib=stand up + -á=suffix for doer],blank,,,,
thibeb,cooking utensil     {orig},orig,,object,,
thid,"thread, string, to thread, to string     {CH}",new,,,,
thihá,"owner, possessor [thi=to have + -á=suffix for doer]     {orig}",orig,,person,,
thil,vine     {orig},orig,,plant,,
thili,fish     {orig},orig,,animal,,
thina,"happiness, joy: for no reason: to be joyful, to be happy (thehena, thena, thona, thuna=joy)     {orig}",orig,,pos emotion,,no
thizh,pie     {CH},new,,food,,
thob,"one thousand (1,000)     {orig}",orig,,number,,
thob i nede,"one thousand and one (1,001)     {orig}",orig,,number,,
thod,"to write, written     {orig}",orig,,,,
thode,writing implement; short form of dalethodewan     {orig},orig,,,,
thol,breast     {orig},orig,,"body, sex",fem,
thom,pillow     {orig},orig,,,,
thoma,near,blank,,,,
thon,seed     {orig},orig,,plant,,
thona,"happiness, joy: for foolish reasons: to be joyful, to be happy (thehena, thena, thina, thuna=joy)     {orig}",orig,,pos emotion,,no
thóo,"guest (See also: áathethóo, nithedimethóo, shineshidethóo, widadithethóo)     {orig}",orig,,person,,
thóohéthe,"guest-clean, the level of cleaning you need to do for guests [thóo=guest + (h)éthe=clean] (See also: éthe, háawithéthe, huhéthe, mudahéthe, onidahéthe)     {CH}",new,,,,no
thosh,sky     {orig},orig,,nature,,
thówóoban,to have just given birth [thó-=to have just + wóoban=to give birth],blank,,sex,fem,no
thu,honey     {orig},orig,,food,,
thud,bone     {orig},orig,,body,,
thuhá,"beekeeper, apiarist [thu=honey + -(h)á=doer]",blank,,person,,
thuhal,candy     {orig},orig,,food,,
thuhul,"charm, charisma",blank,,,,
thul,parent     {orig},orig,,person,,
thulana,soup [thul=parent + ana=food]     {orig},orig,,food,,
thun,muscle     {orig},orig,,body,,
thuna,"happiness, joy: for bad reasons: to be joyful, to be happy (thehena, thena, thina, thona=joy)     {orig}",orig,,neg emotion,,no
thuwebe,mead [thu=honey + webe=beer]     {orig},orig,,food,,
thuyu,apricot [thu=honey + yu=fruit]     {orig},orig,,food,,
thuzh,cake,blank,,food,,
u,to be open     {orig},orig,,,,
ub,"balm, soothing substance     {orig}",orig,,,,
ubath,to scratch an itch [ub=balm + bath=fingernail]     {SH},new,,,,no
ud,stone     {orig},orig,,,,
udadem,statue [ud=stone + dadem=picture/image]     {AB},new,,,,
udath,noon     {orig},orig,,time,,
udathihée,afternoon [udath=noon + ihée=after]     {orig},orig,,time,,
udemeda,potato [ud=stone + (e)meda=vegetable]     {orig},orig,,food,,
udólo,lava     {SH},new,,nature,,
udoya,"shell, carapace, hull [ud=stone + oya=skin]     {SH}",new,,,,
uhud,nuisance     {orig},orig,,,,
uhudemid,tick (insect) [uhud=nuisance + mid=creature]     {orig},orig,,animal,,
uhudeshara,depression as result of small event     {DK},new,,neg emotion,,no
uhudezhub,"tick, the insect [uhud=nuisance + zhub=insect]     {new}",new,,animal,,
ul,"hope, to hope     {orig}",orig,,,,
ulanin,to study [ulin=school]     {orig},orig,,,,
ulhad,to betray [lh gives negative connotation]     {orig},orig,,,,
ulin,school     {orig},orig,,place,,
um,seven (7)     {orig},orig,,number,,
ume,"to be full, abundant     {orig}",orig,,,,
umeloláad,"visualization, to visualize     {Grammar Updates}",new,,,,
umethab,seventeen (17)     {orig},orig,,number,,
un,to lead somebody/something     {orig},orig,,,,
uná,leader     {orig},orig,,person,,
unáhid,king [uná=leader + -(h)id=male]     {orig},orig,,person,masc,
une,to wear     {orig},orig,,,,
urahu,gate [u=to be open + rahu=to be not open]     {orig},orig,,,,
uth,brain     {orig},orig,,body,,
uthemid,whale [uth=brain + mid=creature]     {orig},orig,,animal,,
úushili,fog     {new},new,,nature,,
úuya,"to hurt, feel pain     {orig}",orig,,,,
úuzh,"sheets, sheet bedding     {orig}",orig,,,,
uzh,"symbol (of notation or alphabet), character     {orig}",orig,,,,
wa,known to X because perceived by X (externally or internally) (evidence morpheme): “The reason I claim that what I’m saying is true is that I have perceived it myself”     {orig},orig,,grammar,,
waá,assumed false by X because X distrusts source (evidence morpheme)     {orig},orig,,grammar,,
wáa,assumed true by X because X trusts source (evidence morpheme)     {orig},orig,,grammar,,
waálh,"assumed false by speaker because source is not trusted and evil intent by source is assumed, assumed false by X because X distrusts source and X suspects source of acting with evil intent (evidence morpheme)     {orig}",orig,,grammar,,
waha,any     {AB},new,,grammar,,
waludal,"sewage plant, waste water plant     {SH}",new,,place,,
wam,"to be placid, still, calm (as of water, wind)     {orig}",orig,,,,no
wan,back (body part)     {orig},orig,,body,,
we,"perceived by speaker in a dream, perceived by X in a dream (evidence morpheme)     {orig}",orig,,grammar,,
web,liver     {orig},orig,,body,,
webe,beer (wéebe=ale)     {orig},orig,,food,,
webehá,brewer [webe=beer + -á=suffix for doer]     {orig},orig,,person,,
webesh,hops (the plant)     {SH},new,,plant,,
wedeth,to be clear     {orig},orig,,,,
wée,"cry, to cry (of babies) [onomatopoeia]     {orig}",orig,,,,no
wéebe,ale [webe=beer]     {orig},orig,,food,,
wéedan,to read [dan=language]     {orig},orig,,,,
wéehoth,library [wéedan=to read + hoth=place]     {orig},orig,,place,,
wehe,"store, market     {orig}",orig,,place,,
wehebuth,"mall, a gathering of stores [wehe=store + buth=gather]     {new}",new,,place,,
wehebuthebod,strip-mall [wehebuth=mall + bod=line]     {new},new,,place,,
wéhená,"gratitude despite negative circumstances, to be grateful (see: wéná, wíná, wóná, wúná)     {orig}",orig,,pos emotion,,no
wem,to lose     {orig},orig,,,,
weman,winter     {orig},orig,,time,,
wemen,spring (season)     {orig},orig,,time,,
wemon,autumn     {orig},orig,,time,,
wéná,"gratitude for good reasons, to be grateful (see: wéhená, wíná, wóná, wúná)     {orig}",orig,,pos emotion,,no
wésha,geshalt     {orig},orig,,,,
wesháana,"to menstruate late, menstruation [osháana=to menstruate]     {orig}",orig,,sex,fem,no
weth,"road, way, path, track     {orig}",orig,,,,
wethalehale,"melody (literally, music path)     {orig}",orig,,,,
wetham,"turn, make a turn",blank,,,,
wethene,direction     {SH},new,,place,,
wi,"an evidential meaning “The reason I claim that what I’m saying is true is because it’s self-evident; everybody can see that it’s true, or everybody is in agreement that it’s true.”; known to X because self-evident (evidence morpheme)     {orig}",orig,,grammar,,
wí,life     {orig},orig,,,,
wida,to carry     {orig},orig,,,,
widáahith,wire     {orig},orig,,,,
widadith,telephone [wida=to carry + dith=voice]     {orig},orig,,object,,
widadithethóo,"phone guest, a guest who calls before they come [widadith=telephone + (e)thóo=guest] (See also: thóo, áathethóo, nithedimethóo, shineshidethóo)     {CH}",new,,person,,no
widahath,"when [wida=carry + hath=time] 1) Bíi lalom le widahath hal le wa. “I sing when I work.” 2) Bíi widahath hal le, lalom le wa. “When I work, I sing.”",blank,,,,
widahoth,where [wida=carry + hoth=place],blank,,,,
widahuth,"why [wida=carry + huth=reason] Bíi widahuth eril náhal with, lothel ra le wa. “Why the woman kept working, I don’t know.”",blank,,,,
widaweth,"how [wida=carry + weth=path] : Bíi widaweth aril mebedi háawith, lothel ra le wa. “How the children will learn, I don’t know.”",blank,,,,
widazhad,to be pregnant late in term and eager for the end [wida=to carry + lawida=to be pregnant]     {orig},orig,,sex,fem,no
widom,to hold     {Grammar Updates},new,,,,
wihi,emotion     {orig},orig,,neut emotion,,
wíi,"to be alive, living [wi=life]     {orig}",orig,,,,
wíitham,clergy [wíi=living + tham=circle]     {orig},orig,,spirituality,,
wil,"optative mode, indicating an option or wish (Time Auxiliary)",blank,,grammar,,
wil,"let there be…, would that…, may, let it be     {orig}",orig,,grammar,,
Wil sha,"greeting, (hello) “Let there be harmony” [wil=let there be + sha=harmony]     {orig}",orig,,social,,
wili,"river, creek [ili=water]     {orig}",orig,,place,,
wilibod,list [wili=river + bod=line],blank,,,,
wilidunedal,reservoir for fluids [wili=river + dun=meadow + (e)dal=thing]     {SH},new,,place,,
wilomina,"to perform, act [wil=let/may + oba=body + mina=move]     {SH}",new,,,,
wilominabelid,theater [wilomina=act/perform + belid=house]     {AB},new,,place,,
